PW(µs),Azimuth(º),Elevation(º),Power(dBm),Freq(MHz),cluster
15.67,105.117188,90.0,-17.5,1425.735,0
20.98,101.601563,90.0,-41.5,1425.785,0
21.07,103.007813,90.0,-41.5,1425.69,0
5.38,103.007813,90.0,-34.5,1375.785,0
8.44,103.007813,90.0,-34.5,1375.785,0
7.9,111.09375,90.0,-42.0,1425.835,0
7.87,111.09375,90.0,-42.0,1426.06,0
5.44,112.5,90.0,-32.5,1375.875,0
8.74,112.5,90.0,-33.0,1375.875,0
8.23,105.117188,90.0,-17.5,1425.6,0
8.17,105.117188,90.0,-17.5,1425.6,0
8.29,103.007813,90.0,-17.0,1425.65,0
8.32,105.117188,90.0,-17.5,1425.69,0
8.29,105.117188,90.0,-17.5,1425.55,0
8.5,103.007813,90.0,-17.0,1425.65,0
6.94,114.609375,90.0,-38.0,1425.65,0
6.88,114.609375,90.0,-38.0,1425.785,0
